date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:41	80300/80300	---M--	200	added ('OK')	font/woff2	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.woff2	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.woff2	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/all.min.css?ver=4.7.0)
15:03:47	104280/104280	---M--	200	added ('OK')	font/woff	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.woff	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.woff	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/all.min.css?ver=4.7.0)
15:04:00	922603/922603	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.svg	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.svg	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/all.min.css?ver=4.7.0)
15:04:01	4178/4178	---M--	200	added ('OK')	image/gif	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/fonts/ajax-loader.gif	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/fonts/ajax-loader.gif	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/slick-theme.min.css?ver=v2.2.0)
15:04:01	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.eot	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.eot	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/slick-theme.min.css?ver=v2.2.0)
15:04:11	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.eot?	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/fonts/slickd41d.eot	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/slick-theme.min.css?ver=v2.2.0)
15:04:12	1380/1380	---M--	200	added ('OK')	font/woff	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.woff	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.woff	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/slick-theme.min.css?ver=v2.2.0)
15:04:16	204528/204528	---M--	200	added ('OK')	font/ttf	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.ttf	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/webfonts/fa-solid-900.ttf	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/all.min.css?ver=4.7.0)
15:04:21	1892/1892	---M--	200	added ('OK')	font/ttf	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.ttf	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.ttf	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/slick-theme.min.css?ver=v2.2.0)
15:04:22	2166/2166	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2006%20Nov%202022%2013:24:10%20GMT	https://ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.svg	D:/ecura/ecura/ecura.ie/wp-content/themes/business-carter/assets/fonts/slick.svg	(from https://ecura.ie/wp-content/themes/business-carter/assets/css/slick-theme.min.css?ver=v2.2.0)
